player_id,ppr_points_total,name,position,team,season
00-0034796,471.54,Lamar Jackson,QB,BAL,2024
00-0034844,455.7,Saquon Barkley,RB,PHI,2024
00-0034857,444.98,Josh Allen,QB,BUF,2024
00-0039910,428.2,Jayden Daniels,QB,WAS,2024
00-0036389,411.56,Jalen Hurts,QB,PHI,2024
00-0036900,403.0,Ja'Marr Chase,WR,CIN,2024
00-0039139,398.4,Jahmyr Gibbs,RB,DET,2024
00-0034855,381.5,Baker Mayfield,QB,TB,2024
00-0032764,381.4,Derrick Henry,RB,BAL,2024
00-0036442,372.82,Joe Burrow,QB,CIN,2024
00-0033873,348.38,Patrick Mahomes,QB,KC,2024
00-0038542,341.7,Bijan Robinson,RB,ATL,2024
00-0036963,337.88,Amon-Ra St. Brown,WR,DET,2024
00-0033106,333.68,Jared Goff,QB,DET,2024
00-0039732,331.26,Bo Nix,QB,DEN,2024
00-0036322,328.28,Justin Jefferson,WR,MIN,2024
00-0037248,324.3,James Cook,RB,BUF,2024
00-0035659,322.5,Terry McLaurin,WR,WAS,2024
00-0034869,319.66,Sam Darnold,QB,MIN,2024
00-0035700,314.2,Josh Jacobs,RB,GB,2024
00-0039040,299.9,Devon Achane,RB,MIA,2024
00-0037840,299.8,Kyren Williams,RB,LA,2024
00-0035228,297.24,Kyler Murray,QB,ARI,2024
00-0036355,291.08,Justin Herbert,QB,LAC,2024
00-0039893,284.0,Brian Thomas,WR,JAX,2024
00-0037238,280.8,Drake London,WR,ATL,2024
00-0039915,275.6,Ladd McConkey,WR,LAC,2024
00-0033897,275.4,Joe Mixon,RB,HOU,2024
00-0039337,273.6,Malik Nabers,WR,NYG,2024
00-0037834,266.86,Brock Purdy,QB,SF,2024
00-0030565,266.0,Geno Smith,QB,SEA,2024
00-0033906,265.3,Alvin Kamara,RB,NO,2024
00-0036358,263.40000000000003,CeeDee Lamb,WR,DAL,2024
00-0039338,262.7,Brock Bowers,TE,LV,2024
00-0031408,262.6,Mike Evans,WR,TB,2024
00-0039361,260.7,Bucky Irving,RB,TB,2024
00-0035676,257.2,A.J. Brown,WR,PHI,2024
00-0023459,256.58,Aaron Rodgers,QB,NYJ,2024
00-0038597,255.0,Chase Brown,RB,CIN,2024
00-0039918,254.54,Caleb Williams,QB,CHI,2024
00-0033553,253.8,James Conner,RB,ARI,2024
00-0039894,253.7,Xavier Worthy,WR,KC,2024
00-0038543,253.0,Jaxon Smith-Njigba,WR,SEA,2024
00-0034348,252.8,Courtland Sutton,WR,DEN,2024
00-0037740,251.9,Garrett Wilson,WR,NYJ,2024
00-0039163,251.86,C.J. Stroud,QB,HOU,2024
00-0033293,250.6,Aaron Jones,RB,MIN,2024
00-0026498,250.3,Matthew Stafford,QB,LA,2024
00-0036554,248.9,Nico Collins,WR,HOU,2024
00-0036223,244.7,Jonathan Taylor,RB,IND,2024
00-0037744,243.8,Trey McBride,TE,ARI,2024
00-0036555,241.6,Chuba Hubbard,RB,CAR,2024
00-0031381,241.29999999999998,Davante Adams,WR,LV,2024
00-0036407,240.9,Jerry Jeudy,WR,CLE,2024
00-0038120,240.9,Breece Hall,RB,NYJ,2024
