player_id,name,week,ppr_points,position,team,season
00-0034844,Saquon Barkley,1,33.2,RB,PHI,2024
00-0039146,Jayden Reed,1,33.1,WR,GB,2024
00-0033908,Cooper Kupp,1,32.0,WR,LA,2024
00-0034857,Josh Allen,1,31.18,QB,BUF,2024
00-0034855,Baker Mayfield,1,29.66,QB,TB,2024
00-0039910,Jayden Daniels,1,28.16,QB,WAS,2024
00-0034521,Allen Lazard,1,26.9,WR,NYJ,2024
00-0033897,Joe Mixon,1,26.8,RB,HOU,2024
00-0037838,Isaiah Likely,1,26.1,TE,BAL,2024
00-0039164,Anthony Richardson,1,26.08,QB,IND,2024
00-0033040,Tyreek Hill,1,26.0,WR,MIA,2024
00-0034796,Lamar Jackson,1,25.12,QB,BAL,2024
00-0037240,Jameson Williams,1,24.4,WR,DET,2024
00-0031408,Mike Evans,1,23.1,WR,TB,2024
00-0039040,Devon Achane,1,23.0,RB,MIA,2024
00-0035676,A.J. Brown,1,22.9,WR,PHI,2024
00-0036158,J.K. Dobbins,1,22.9,RB,LAC,2024
00-0033921,Chris Godwin,1,22.3,WR,TB,2024
00-0037525,Jordan Mason,1,22.2,RB,SF,2024
00-0033906,Alvin Kamara,1,22.0,RB,NO,2024
00-0031588,Stefon Diggs,1,21.9,WR,HOU,2024
00-0036875,Rhamondre Stevenson,1,21.6,RB,NE,2024
00-0037664,Alec Pierce,1,21.5,WR,IND,2024
00-0031280,Derek Carr,1,21.3,QB,NO,2024
00-0039894,Xavier Worthy,1,20.8,WR,KC,2024
00-0033553,James Conner,1,19.3,RB,ARI,2024
00-0033293,Aaron Jones,1,18.9,RB,MIN,2024
00-0037267,Jerome Ford,1,18.9,RB,CLE,2024
00-0038134,Kenneth Walker,1,18.9,RB,SEA,2024
00-0035719,Deebo Samuel,1,18.7,WR,SF,2024
00-0039163,C.J. Stroud,1,18.66,QB,HOU,2024
00-0036212,Tua Tagovailoa,1,18.62,QB,MIA,2024
00-0035261,Tony Pollard,1,18.4,RB,TEN,2024
00-0038120,Breece Hall,1,18.3,RB,NYJ,2024
00-0037746,Brian Robinson,1,17.9,RB,WAS,2024
00-0030565,Geno Smith,1,17.84,QB,SEA,2024
00-0036554,Nico Collins,1,17.7,WR,HOU,2024
00-0039139,Jahmyr Gibbs,1,17.4,RB,DET,2024
00-0039067,Rashee Rice,1,17.3,WR,KC,2024
00-0037256,Rachaad White,1,16.6,RB,TB,2024
00-0036389,Jalen Hurts,1,16.42,QB,PHI,2024
00-0036264,Jordan Love,1,16.4,QB,GB,2024
00-0035685,David Montgomery,1,16.3,RB,DET,2024
00-0037545,Rashid Shaheed,1,16.3,WR,NO,2024
00-0034972,Alexander Mattison,1,16.2,RB,LV,2024
00-0036613,Jaylen Waddle,1,16.2,WR,MIA,2024
00-0038542,Bijan Robinson,1,16.1,RB,ATL,2024
00-0036322,Justin Jefferson,1,15.9,WR,MIN,2024
00-0037197,Isiah Pacheco,1,15.8,RB,KC,2024
00-0036912,DeVonta Smith,1,15.4,WR,PHI,2024
00-0033873,Patrick Mahomes,1,15.14,QB,KC,2024
00-0039915,Ladd McConkey,1,14.9,WR,LAC,2024
00-0039893,Brian Thomas,1,14.7,WR,JAX,2024
00-0026498,Matthew Stafford,1,14.68,QB,LA,2024
00-0034869,Sam Darnold,1,14.62,QB,MIN,2024
00-0031236,Brandin Cooks,1,14.5,WR,DAL,2024
00-0037840,Kyren Williams,1,14.4,RB,LA,2024
