player_id,full_name,first_name,last_name,position,fantasy_positions,team,status,age,height,weight,espn_id,yahoo_id,sportradar_id,rotowire_id,rotoworld_id
6462,Ellis Richardson,Ellis,Richardson,TE,TE,,Active,26.0,75,245,3926590.0,32262.0,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,14134.0,
11255,Nick Amoah,Nick,Amoah,OL,OL,,Active,,74,306,,,55510c00-ead2-11ed-999e-03b49558b5db,,
8842,Malkelm Morrison,Malkelm,Morrison,CB,DB,,Injured Reserve,,70,186,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,16558.0,
7926,Carl Tucker,Carl,Tucker,TE,TE,,Active,24.0,74,250,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,15412.0,
1875,C.J. Mosley,C.J.,Mosley,LB,LB,,Active,32.0,74,231,16720.0,27545.0,bf5f7564-349a-439a-a8a9-4ddb10448a8d,9380.0,9631.0
8478,Samuel Womack,Samuel,Womack,CB,DB,,Active,26.0,70,189,,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,16274.0,
995,Ron Parker,Ron,Parker,FS,DB,,Injured Reserve,34.0,72,206,14297.0,25090.0,e9a0297a-0b34-4c55-af1f-ca113d672195,7817.0,6811.0
1408,Le'Veon Bell,Le'Veon,Bell,RB,RB,TB,Active,29.0,73,225,15825.0,26671.0,7735c02a-ee75-447c-86e6-6c2168500050,8617.0,8390.0
8074,Matt Seybert,Matt,Seybert,TE,TE,,Active,24.0,76,252,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,15785.0,
156,William Gay,William,Gay,CB,DB,,Inactive,35.0,"5'10""",187,10613.0,8424.0,a2907a39-139b-483f-8369-e278c26a6951,6211.0,4319.0
7311,Javin White,Javin,White,LB,"DB,LB",,Active,27.0,74,211,3921709.0,33318.0,3f95afdc-2140-424b-8250-7d4e273c2efc,14902.0,
2091,Bashaud Breeland,Bashaud,Breeland,CB,DB,ARI,Active,30.0,71,197,16890.0,27630.0,ba905b34-8412-4553-9055-3460368cc608,9648.0,9585.0
13175,Kinkead Dent,Kinkead,Dent,QB,QB,,Active,24.0,76,215,,,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,,
11533,Brandon Aubrey,Brandon,Aubrey,K,K,DAL,Active,30.0,75,218,,,110e6fe0-1c34-11ee-8294-af17faac15de,17649.0,
2508,Amarlo Herrera,Amarlo,Herrera,LB,LB,,Inactive,28.0,"6'1""",249,2578542.0,28595.0,faf5f854-73af-4ab9-8f19-95ea75431d45,10372.0,
2199,Kasim Edebali,Kasim,Edebali,DE,"DL,LB",,Inactive,32.0,74,253,17141.0,27923.0,25a958c9-4035-43ad-8c9c-1309ea592e66,9378.0,
2881,Tyler Slavin,Tyler,Slavin,WR,WR,,Inactive,26.0,"6'2""",215,2516911.0,29002.0,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,10861.0,
2064,DeMarcus Lawrence,DeMarcus,Lawrence,DE,DL,SEA,Active,33.0,75,254,16802.0,27562.0,3e3bd10a-6462-47f8-8938-42518781d060,9344.0,9633.0
1284,Lance Dunbar,Lance,Dunbar,RB,RB,,Inactive,30.0,"5'8""",187,15369.0,26064.0,9f0f0495-b5b8-45c2-866b-02d9f96087f7,8086.0,7798.0
2801,DeAndrew White,DeAndrew,White,WR,WR,,Inactive,30.0,72,195,2515962.0,28800.0,e0abf267-f265-4682-9bb7-72bbcefda451,10243.0,
4501,Devaroe Lawrence,Devaroe,Lawrence,DT,DL,,Active,29.0,74,294,3121581.0,30412.0,87c4b182-e4bc-4f35-97ec-8537a2665875,12173.0,
5852,DeAndre Baker,DeAndre,Baker,CB,DB,,Active,24.0,71,186,3915163.0,31862.0,02d1b3c3-f292-4174-89fa-9ecc6286adb0,13475.0,
1073,Taylor Thompson,Taylor,Thompson,TE,TE,,Inactive,27.0,"6'6""",268,15067.0,,c2c65162-07df-48fb-93ce-86f340afb688,,
3374,Kevon Seymour,Kevon,Seymour,CB,DB,,Inactive,31.0,72,188,2971603.0,29452.0,e431a42b-5abe-49de-9c8c-f143f393591c,11170.0,
8012,Corey Straughter,Corey,Straughter,CB,DB,,Active,23.0,70,183,,,a01a9064-c0c3-4f3e-8753-89f5859879f9,15702.0,
