player_id,opta_id,search_rank,injury_start_date,news_updated,pandascore_id,college,birth_country,injury_notes,swish_id,fantasy_data_id,years_exp,active,gsis_id,number,last_name,first_name,birth_date,injury_body_part,weight,search_first_name,status,height,hashtag,espn_id,team,oddsjam_id,stats_id,depth_chart_order,search_full_name,rotowire_id,yahoo_id,injury_status,sportradar_id,team_abbr,age,team_changed_at,full_name,position,practice_description,sport,rotoworld_id,practice_participation,depth_chart_position,high_school,birth_city,fantasy_positions,competitions,birth_state,search_last_name,metadata.channel_id,metadata.rookie_year,metadata.years_exp_shift,metadata,metadata.source_id,metadata.override_active,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2024_6,metadata.name,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2021_3,metadata.injury_override_off_2021_0,metadata.injury_override_pre_2025_0,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2025_1,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2020_8,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_10,metadata.injury_override_post_2024_3,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2024_8,metadata.injury_override_regular_2024_17,metadata.injury_override_regular_2024_13
6462,,9999999.0,,,,Georgia Southern,,,,21427.0,3.0,True, 00-0035057,45.0,Richardson,Ellis,1995-02-12,,245,ellis,Active,75,#ellisrichardson-NFL-FA-45,3926590.0,,,887183.0,,ellisrichardson,14134.0,32262.0,,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,,26.0,,Ellis Richardson,TE,,nfl,,,,Douglas County,,['TE'],[],,richardson,1116853254748110848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11255,,9999999.0,,,,UC Davis,,,1052592.0,,0.0,True,,0.0,Amoah,Nick,,,306,nick,Active,74,#nickamoah-NFL-FA-0,,,,,,nickamoah,,,,55510c00-ead2-11ed-999e-03b49558b5db,,,,Nick Amoah,OL,,nfl,,,,Davis (CA),,['OL'],[],,amoah,1116852669114220544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8842,,9999999.0,,1653351613345.0,,Army,,,1131137.0,,1.0,True,,0.0,Morrison,Malkelm,,,186,malkelm,Injured Reserve,70,#malkelmmorrison-NFL-FA-0,,,,,,malkelmmorrison,16558.0,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,,,,Malkelm Morrison,CB,,nfl,,,,Iona Prep (NY),,['DB'],[],,morrison,1116853537213513728,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7926,,426.0,,1631568053348.0,,Alabama,,,866047.0,,1.0,True,,0.0,Tucker,Carl,1997-02-06,,250,carl,Active,74,#carltucker-NFL-FA-0,,,,,,carltucker,15412.0,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,,24.0,,Carl Tucker,TE,,nfl,,,,Hough (NC),,['TE'],[],,tucker,1116853436709601280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,216.0,,1750349738286.0,,Alabama,,,557173.0,16093.0,11.0,True,00-0031296,57.0,Mosley,C.J.,1992-06-19,Neck,231,cj,Active,74,#cjmosley-NFL-FA-57,16720.0,,97CDFFA7FA4D,,,cjmosley,9380.0,27545.0,Questionable,bf5f7564-349a-439a-a8a9-4ddb10448a8d,,32.0,,C.J. Mosley,LB,,nfl,9631.0,,,Theodore (AL),,['LB'],[],,mosley,1113708745461886977,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8478,,631.0,,1737226242174.0,,Toledo,,,1085180.0,,3.0,True,,33.0,Womack,Samuel,1999-07-07,,189,samuel,Active,70,#samuelwomack-NFL-TEN-33,,TEN,0823DA35726D,,3.0,samuelwomack,16274.0,,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,,26.0,,Samuel Womack,CB,,nfl,,,RCB,East English Village Prep (MI),,['DB'],[],,womack,1113708876978483201,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,,9999999.0,,1578330037366.0,,Newberry,,,,13476.0,11.0,False,00-0028445,0.0,Parker,Ron,1987-08-17,,206,ron,Injured Reserve,72,#ronparker-NFL-FA-0,14297.0,,,512802.0,,ronparker,7817.0,25090.0,,e9a0297a-0b34-4c55-af1f-ca113d672195,,34.0,,Ron Parker,FS,,nfl,6811.0,,,Beaufort (SC),,['DB'],[],,parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,,235.0,,1707165960874.0,,Michigan State,,,543654.0,14967.0,9.0,True,00-0030496,6.0,Bell,Le'Veon,1992-02-18,,225,leveon,Active,73,#leveonbell-NFL-TB-6,15825.0,TB,,543654.0,,leveonbell,8617.0,26671.0,,7735c02a-ee75-447c-86e6-6c2168500050,,29.0,,Le'Veon Bell,RB,,nfl,8390.0,,,Groveport Madison (OH),,['RB'],[],,bell,1116852736248250368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8074,,,,1629836727949.0,,Michigan State,,,,,1.0,True,,41.0,Seybert,Matt,1997-05-02,,252,matt,Active,76,#mattseybert-NFL-FA-41,,,,,,mattseybert,15785.0,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,,24.0,,Matt Seybert,TE,,nfl,,,,St. Francis (MI),,['TE'],[],,seybert,1116853462399713280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,9999999.0,,1534088707204.0,,Louisville,,,,4122.0,13.0,False,00-0025557,25.0,Gay,William,1985-01-01,,187,william,Inactive,"5'10""",#williamgay-NFL-FA-25,10613.0,,,229499.0,,williamgay,6211.0,8424.0,,a2907a39-139b-483f-8369-e278c26a6951,,35.0,,William Gay,CB,,nfl,4319.0,,,James R. Rickards (FL),,['DB'],[],,gay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7311,,9999999.0,,1721609703351.0,,UNLV,,,881687.0,22303.0,4.0,True,,60.0,White,Javin,1997-02-21,,211,javin,Active,74,#javinwhite-NFL-FA-60,3921709.0,,8ADDCA292DD5,,,javinwhite,14902.0,33318.0,,3f95afdc-2140-424b-8250-7d4e273c2efc,,27.0,,Javin White,LB,,nfl,,,,McClymonds (CA),,"['DB', 'LB']",[],,white,1116853366710861824,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,,9999999.0,,1641345029845.0,,Clemson,,,560235.0,16407.0,8.0,True, 00-0031052,24.0,Breeland,Bashaud,1992-01-30,,197,bashaud,Active,71,#bashaudbreeland-NFL-ARI-24,16890.0,ARI,,560235.0,,bashaudbreeland,9648.0,27630.0,,ba905b34-8412-4553-9055-3460368cc608,,30.0,,Bashaud Breeland,CB,,nfl,9585.0,,,Allendale-Fairfax (SC),,['DB'],[],,breeland,1116852779298586624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
